type	delta time	mode	trial	lickPos	result
entrance	15.13427	0x11	0	0	
entrance	15.27427	0x11	0	0	
entrance	15.47427	0x11	0	0	
entrance	15.51427	0x11	0	0	
entrance	15.53427	0x11	0	0	
entrance	15.55427	0x11	0	0	
entrance	15.57427	0x11	0	0	
entrance	15.59427	0x11	0	0	
entrance	15.61427	0x11	0	0	
entrance	15.63427	0x11	0	0	
entrance	15.65427	0x11	0	0	
entrance	15.73427	0x11	0	0	
entrance	15.75427	0x11	0	0	
entrance	15.81427	0x11	0	0	
entrance	15.83427	0x11	0	0	
entrance	15.87427	0x11	0	0	
entrance	15.91427	0x11	0	0	
entrance	15.93427	0x11	0	0	
entrance	15.95427	0x11	0	0	
entrance	15.97427	0x11	0	0	
entrance	15.99427	0x11	0	0	
entrance	16.01427	0x11	0	0	
entrance	16.03427	0x11	0	0	
entrance	16.05427	0x11	0	0	
entrance	16.07427	0x11	0	0	
entrance	16.09426	0x11	0	0	
entrance	16.11427	0x11	0	0	
entrance	16.13427	0x11	0	0	
entrance	16.15427	0x11	0	0	
entrance	16.17426	0x11	0	0	
entrance	16.19427	0x11	0	0	
entrance	16.21427	0x11	0	0	
entrance	16.23427	0x11	0	0	
entrance	16.25427	0x11	0	0	
entrance	16.27427	0x11	0	0	
entrance	16.29427	0x11	0	0	
entrance	16.31427	0x11	0	0	
entrance	16.33427	0x11	0	0	
entrance	16.35427	0x11	0	0	
entrance	16.37427	0x11	0	0	
entrance	16.39427	0x11	0	0	
entrance	16.41427	0x11	0	0	
entrance	16.43427	0x11	0	0	
entrance	16.45427	0x11	0	0	
entrance	16.47427	0x11	0	0	
entrance	16.49427	0x11	0	0	
entrance	16.51427	0x11	0	0	
entrance	16.53427	0x11	0	0	
entrance	16.55427	0x11	0	0	
entrance	16.57427	0x11	0	0	
entrance	16.59426	0x11	0	0	
entrance	16.61427	0x11	0	0	
entrance	16.63427	0x11	0	0	
entrance	16.65427	0x11	0	0	
entrance	16.67426	0x11	0	0	
entrance	16.69427	0x11	0	0	
entrance	16.71427	0x11	0	0	
entrance	16.73427	0x11	0	0	
entrance	16.75427	0x11	0	0	
entrance	16.77427	0x11	0	0	
entrance	16.79427	0x11	0	0	
entrance	16.81427	0x11	0	0	
entrance	16.83427	0x11	0	0	
entrance	16.85427	0x11	0	0	
entrance	16.87427	0x11	0	0	
entrance	16.89427	0x11	0	0	
entrance	16.91427	0x11	0	0	
entrance	16.93427	0x11	0	0	
entrance	16.95427	0x11	0	0	
entrance	16.97427	0x11	0	0	
entrance	16.99427	0x11	0	0	
entrance	17.01427	0x11	0	0	
entrance	17.03427	0x11	0	0	
entrance	17.05427	0x11	0	0	
entrance	17.07427	0x11	0	0	
entrance	17.09426	0x11	0	0	
entrance	17.11427	0x11	0	0	
entrance	17.13427	0x11	0	0	
entrance	17.15427	0x11	0	0	
entrance	17.17426	0x11	0	0	
entrance	17.19427	0x11	0	0	
entrance	17.21427	0x11	0	0	
entrance	17.23427	0x11	0	0	
entrance	17.25427	0x11	0	0	
entrance	17.27427	0x11	0	0	
entrance	17.29427	0x11	0	0	
entrance	17.31427	0x11	0	0	
entrance	17.33427	0x11	0	0	
entrance	17.35427	0x11	0	0	
entrance	17.37427	0x11	0	0	
entrance	17.39427	0x11	0	0	
entrance	17.41427	0x11	0	0	
entrance	17.43427	0x11	0	0	
entrance	17.45427	0x11	0	0	
entrance	17.47427	0x11	0	0	
entrance	17.49427	0x11	0	0	
entrance	17.51427	0x11	0	0	
entrance	17.53427	0x11	0	0	
entrance	17.55427	0x11	0	0	
entrance	17.57427	0x11	0	0	
entrance	17.59426	0x11	0	0	
entrance	17.61427	0x11	0	0	
